W_age,W_edu,H_edu,Num_of_child,W_relig,W_work,L_index,Media,Contraceptive
32,High wife education ,High husband education,1,Religion Islam,Wife now working,Upper-middle standard-of-living,Good media,No-use
34,High wife education ,High husband education,2,Religion Islam,Wife now working,Upper-middle standard-of-living,Good media,No-use
29,Upper-middle wife education ,High husband education,4,Religion Islam,Wife now working,Upper-middle standard-of-living,Good media,No-use
32,High wife education ,High husband education,4,Religion Islam,Wife now working,Upper-middle standard-of-living,Good media,No-use
28,High wife education ,High husband education,0,Religion non-Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
28,High wife education ,High husband education,1,Religion non-Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
22,High wife education ,High husband education,0,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
26,Lower-middle wife education ,High husband education,1,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
29,High wife education ,High husband education,1,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
33,High wife education ,High husband education,2,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
22,High wife education ,High husband education,2,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
31,Upper-middle wife education ,High husband education,0,Religion Islam,Wife now working,Upper-middle standard-of-living,Good media,No-use
31,Upper-middle wife education ,Upper-middle husband education,2,Religion Islam,Wife now working,Upper-middle standard-of-living,Good media,No-use
28,Low wife education ,High husband education,2,Religion Islam,Wife now working,Upper-middle standard-of-living,Good media,No-use
23,Upper-middle wife education ,High husband education,2,Religion Islam,Wife now working,Upper-middle standard-of-living,Good media,No-use
35,Upper-middle wife education ,High husband education,1,Religion non-Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
25,High wife education ,High husband education,1,Religion non-Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
49,Lower-middle wife education ,High husband education,6,Religion non-Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
44,Low wife education ,Upper-middle husband education,0,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
18,Lower-middle wife education ,Upper-middle husband education,1,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
20,Upper-middle wife education ,Upper-middle husband education,1,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
19,Upper-middle wife education ,High husband education,1,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
23,High wife education ,High husband education,1,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
22,Upper-middle wife education ,High husband education,2,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
47,Upper-middle wife education ,High husband education,3,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
37,Lower-middle wife education ,Upper-middle husband education,4,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
45,High wife education ,High husband education,4,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
34,High wife education ,High husband education,4,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
32,Lower-middle wife education ,High husband education,5,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
36,Lower-middle wife education ,Lower-middle husband education ,0,Religion non-Islam,Wife now working,Upper-middle standard-of-living,Good media,No-use
34,High wife education ,Upper-middle husband education,0,Religion non-Islam,Wife now working,Upper-middle standard-of-living,Good media,No-use
30,High wife education ,High husband education,0,Religion non-Islam,Wife now working,Upper-middle standard-of-living,Good media,No-use
37,Lower-middle wife education ,Upper-middle husband education,2,Religion non-Islam,Wife now working,Upper-middle standard-of-living,Good media,No-use
33,High wife education ,High husband education,0,Religion Islam,Wife now working,Upper-middle standard-of-living,Good media,No-use
45,Low wife education ,Lower-middle husband education ,1,Religion Islam,Wife now working,Upper-middle standard-of-living,Good media,No-use
40,Upper-middle wife education ,Upper-middle husband education,1,Religion Islam,Wife now working,Upper-middle standard-of-living,Good media,No-use
23,High wife education ,High husband education,2,Religion Islam,Wife now working,Upper-middle standard-of-living,Good media,No-use
43,Lower-middle wife education ,Upper-middle husband education,6,Religion Islam,Wife now working,Upper-middle standard-of-living,Good media,No-use
34,Lower-middle wife education ,Upper-middle husband education,7,Religion Islam,Wife now working,Upper-middle standard-of-living,Good media,No-use
35,High wife education ,High husband education,2,Religion non-Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
22,Lower-middle wife education ,High husband education,0,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
27,Upper-middle wife education ,High husband education,0,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
42,Upper-middle wife education ,Lower-middle husband education ,1,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
22,Lower-middle wife education ,Upper-middle husband education,1,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
16,Upper-middle wife education ,High husband education,1,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
24,High wife education ,High husband education,1,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
21,High wife education ,High husband education,1,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
27,Lower-middle wife education ,Upper-middle husband education,2,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
24,Upper-middle wife education ,Upper-middle husband education,2,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
23,Upper-middle wife education ,Upper-middle husband education,2,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
32,Lower-middle wife education ,High husband education,2,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
24,High wife education ,High husband education,2,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
36,High wife education ,High husband education,2,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
25,Lower-middle wife education ,Lower-middle husband education ,3,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
41,Low wife education ,High husband education,4,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
23,Lower-middle wife education ,High husband education,4,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
38,Lower-middle wife education ,High husband education,5,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
33,High wife education ,High husband education,5,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
39,Upper-middle wife education ,Upper-middle husband education,6,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
23,Upper-middle wife education ,Upper-middle husband education,6,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
47,Low wife education ,High husband education,8,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
42,Low wife education ,Upper-middle husband education,12,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
48,Lower-middle wife education ,Low husband education,3,Religion Islam,Wife now working,Upper-middle standard-of-living,Good media,No-use
42,Upper-middle wife education ,Upper-middle husband education,8,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,No-use
30,High wife education ,High husband education,0,Religion Islam,Wife now working,High standard-of-living,Good media,No-use
22,High wife education ,High husband education,0,Religion Islam,Wife now working,High standard-of-living,Good media,No-use
26,High wife education ,High husband education,1,Religion Islam,Wife now working,High standard-of-living,Good media,No-use
34,High wife education ,High husband education,2,Religion Islam,Wife now working,High standard-of-living,Good media,No-use
39,High wife education ,High husband education,2,Religion Islam,Wife now working,High standard-of-living,Good media,No-use
30,Lower-middle wife education ,High husband education,4,Religion Islam,Wife now working,High standard-of-living,Good media,No-use
47,High wife education ,High husband education,1,Religion non-Islam,Wife now not working,High standard-of-living,Good media,No-use
45,Upper-middle wife education ,High husband education,2,Religion non-Islam,Wife now not working,High standard-of-living,Good media,No-use
34,High wife education ,High husband education,2,Religion non-Islam,Wife now not working,High standard-of-living,Good media,No-use
37,High wife education ,High husband education,2,Religion non-Islam,Wife now not working,High standard-of-living,Good media,No-use
28,High wife education ,High husband education,3,Religion non-Islam,Wife now not working,High standard-of-living,Good media,No-use
22,High wife education ,High husband education,0,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
20,High wife education ,High husband education,1,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
26,High wife education ,High husband education,1,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
32,High wife education ,High husband education,1,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
26,High wife education ,High husband education,1,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
37,Upper-middle wife education ,Upper-middle husband education,2,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
23,Lower-middle wife education ,High husband education,2,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
41,High wife education ,High husband education,2,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
23,High wife education ,High husband education,2,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
30,High wife education ,High husband education,2,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
47,High wife education ,High husband education,2,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
39,Upper-middle wife education ,High husband education,3,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
33,High wife education ,High husband education,3,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
32,Upper-middle wife education ,High husband education,4,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
47,High wife education ,High husband education,4,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
47,High wife education ,High husband education,4,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
36,High wife education ,High husband education,4,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
38,Upper-middle wife education ,Upper-middle husband education,5,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
49,Upper-middle wife education ,High husband education,5,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
30,Upper-middle wife education ,High husband education,5,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
43,High wife education ,High husband education,5,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
47,Low wife education ,High husband education,6,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
49,Upper-middle wife education ,High husband education,6,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
39,Upper-middle wife education ,High husband education,6,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
49,Upper-middle wife education ,High husband education,9,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
37,Lower-middle wife education ,Upper-middle husband education,5,Religion non-Islam,Wife now working,High standard-of-living,Good media,No-use
20,Upper-middle wife education ,High husband education,0,Religion Islam,Wife now working,High standard-of-living,Good media,No-use
25,High wife education ,High husband education,0,Religion Islam,Wife now working,High standard-of-living,Good media,No-use
29,High wife education ,High husband education,0,Religion Islam,Wife now working,High standard-of-living,Good media,No-use
23,High wife education ,High husband education,1,Religion Islam,Wife now working,High standard-of-living,Good media,No-use
30,Lower-middle wife education ,Upper-middle husband education,2,Religion Islam,Wife now working,High standard-of-living,Good media,No-use
36,Upper-middle wife education ,Upper-middle husband education,2,Religion Islam,Wife now working,High standard-of-living,Good media,No-use
45,Lower-middle wife education ,High husband education,2,Religion Islam,Wife now working,High standard-of-living,Good media,No-use
36,Lower-middle wife education ,High husband education,2,Religion Islam,Wife now working,High standard-of-living,Good media,No-use
35,High wife education ,High husband education,2,Religion Islam,Wife now working,High standard-of-living,Good media,No-use
29,Upper-middle wife education ,Upper-middle husband education,3,Religion Islam,Wife now working,High standard-of-living,Good media,No-use
42,Upper-middle wife education ,Upper-middle husband education,3,Religion Islam,Wife now working,High standard-of-living,Good media,No-use
30,High wife education ,High husband education,3,Religion Islam,Wife now working,High standard-of-living,Good media,No-use
45,Lower-middle wife education ,Upper-middle husband education,4,Religion Islam,Wife now working,High standard-of-living,Good media,No-use
49,Lower-middle wife education ,Low husband education,10,Religion Islam,Wife now working,High standard-of-living,Good media,No-use
23,High wife education ,High husband education,0,Religion non-Islam,Wife now not working,High standard-of-living,Good media,No-use
32,Upper-middle wife education ,High husband education,1,Religion non-Islam,Wife now not working,High standard-of-living,Good media,No-use
28,High wife education ,High husband education,1,Religion non-Islam,Wife now not working,High standard-of-living,Good media,No-use
38,Upper-middle wife education ,High husband education,2,Religion non-Islam,Wife now not working,High standard-of-living,Good media,No-use
32,Lower-middle wife education ,Upper-middle husband education,4,Religion non-Islam,Wife now not working,High standard-of-living,Good media,No-use
47,Lower-middle wife education ,Low husband education,5,Religion non-Islam,Wife now not working,High standard-of-living,Good media,No-use
44,High wife education ,High husband education,5,Religion non-Islam,Wife now not working,High standard-of-living,Good media,No-use
22,Low wife education ,Lower-middle husband education ,0,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
35,Lower-middle wife education ,Upper-middle husband education,0,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
25,Lower-middle wife education ,Upper-middle husband education,0,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
22,High wife education ,High husband education,0,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
20,Lower-middle wife education ,Upper-middle husband education,1,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
19,Upper-middle wife education ,Upper-middle husband education,1,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
22,Lower-middle wife education ,High husband education,1,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
37,Upper-middle wife education ,High husband education,1,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
47,Low wife education ,Lower-middle husband education ,2,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
44,Low wife education ,Lower-middle husband education ,2,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
47,Upper-middle wife education ,Upper-middle husband education,2,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
23,High wife education ,High husband education,2,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
24,Lower-middle wife education ,Lower-middle husband education ,3,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
44,High wife education ,High husband education,3,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
48,High wife education ,High husband education,3,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
43,Upper-middle wife education ,Upper-middle husband education,4,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
49,Low wife education ,Upper-middle husband education,6,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
36,Upper-middle wife education ,High husband education,6,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
45,Upper-middle wife education ,High husband education,6,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
29,Low wife education ,Lower-middle husband education ,7,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
33,High wife education ,High husband education,1,Religion non-Islam,Wife now working,High standard-of-living,Good media,No-use
32,Lower-middle wife education ,High husband education,0,Religion Islam,Wife now working,High standard-of-living,Good media,No-use
21,Low wife education ,Lower-middle husband education ,1,Religion Islam,Wife now working,High standard-of-living,Good media,No-use
27,Lower-middle wife education ,Upper-middle husband education,1,Religion Islam,Wife now working,High standard-of-living,Good media,No-use
28,Lower-middle wife education ,High husband education,1,Religion Islam,Wife now working,High standard-of-living,Good media,No-use
40,Low wife education ,Low husband education,2,Religion Islam,Wife now working,High standard-of-living,Good media,No-use
30,Upper-middle wife education ,Upper-middle husband education,5,Religion Islam,Wife now working,High standard-of-living,Good media,No-use
19,High wife education ,High husband education,0,Religion non-Islam,Wife now not working,High standard-of-living,Good media,No-use
40,Upper-middle wife education ,Upper-middle husband education,1,Religion non-Islam,Wife now not working,High standard-of-living,Good media,No-use
39,Upper-middle wife education ,Upper-middle husband education,1,Religion non-Islam,Wife now not working,High standard-of-living,Good media,No-use
39,Upper-middle wife education ,High husband education,1,Religion non-Islam,Wife now not working,High standard-of-living,Good media,No-use
27,High wife education ,High husband education,1,Religion non-Islam,Wife now not working,High standard-of-living,Good media,No-use
35,High wife education ,High husband education,2,Religion non-Islam,Wife now not working,High standard-of-living,Good media,No-use
45,Upper-middle wife education ,High husband education,3,Religion non-Islam,Wife now not working,High standard-of-living,Good media,No-use
40,High wife education ,High husband education,3,Religion non-Islam,Wife now not working,High standard-of-living,Good media,No-use
37,Low wife education ,Upper-middle husband education,0,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
25,Upper-middle wife education ,Upper-middle husband education,0,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
47,Low wife education ,Low husband education,1,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
33,Lower-middle wife education ,Upper-middle husband education,1,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
20,Lower-middle wife education ,Upper-middle husband education,1,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
25,Upper-middle wife education ,Upper-middle husband education,1,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
28,Upper-middle wife education ,High husband education,1,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
22,Upper-middle wife education ,Upper-middle husband education,2,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
30,Lower-middle wife education ,High husband education,2,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
24,Lower-middle wife education ,High husband education,2,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
42,Lower-middle wife education ,High husband education,2,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
40,High wife education ,High husband education,2,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
20,Lower-middle wife education ,Upper-middle husband education,3,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
20,Lower-middle wife education ,Upper-middle husband education,3,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
40,High wife education ,High husband education,3,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
22,Lower-middle wife education ,High husband education,4,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
49,High wife education ,High husband education,4,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
41,Upper-middle wife education ,Upper-middle husband education,5,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
33,High wife education ,High husband education,5,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
44,Upper-middle wife education ,High husband education,6,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
44,Low wife education ,Lower-middle husband education ,7,Religion Islam,Wife now not working,High standard-of-living,Good media,No-use
35,Low wife education ,Lower-middle husband education ,0,Religion Islam,Wife now working,High standard-of-living,Good media,No-use
23,Low wife education ,Low husband education,3,Religion Islam,Wife now not working,Low standard-of-living,Not good media,No-use
46,Low wife education ,Lower-middle husband education ,3,Religion Islam,Wife now not working,Low standard-of-living,Not good media,No-use
39,Low wife education ,Low husband education,5,Religion Islam,Wife now working,Low standard-of-living,Not good media,No-use
39,Low wife education ,Lower-middle husband education ,2,Religion Islam,Wife now not working,Low standard-of-living,Not good media,No-use
24,Lower-middle wife education ,Lower-middle husband education ,2,Religion Islam,Wife now not working,Low standard-of-living,Not good media,No-use
36,Lower-middle wife education ,Upper-middle husband education,4,Religion Islam,Wife now not working,Low standard-of-living,Not good media,No-use
40,Low wife education ,Lower-middle husband education ,6,Religion Islam,Wife now not working,Low standard-of-living,Not good media,No-use
44,Low wife education ,Low husband education,11,Religion Islam,Wife now not working,Low standard-of-living,Not good media,No-use
45,Low wife education ,High husband education,5,Religion Islam,Wife now not working,Lower-middle standard-of-living,Not good media,No-use
48,Low wife education ,Low husband education,8,Religion Islam,Wife now working,Lower-middle standard-of-living,Not good media,No-use
46,Upper-middle wife education ,Lower-middle husband education ,11,Religion Islam,Wife now working,Lower-middle standard-of-living,Not good media,No-use
42,Low wife education ,High husband education,11,Religion non-Islam,Wife now not working,Lower-middle standard-of-living,Not good media,No-use
35,Low wife education ,Upper-middle husband education,0,Religion Islam,Wife now not working,Lower-middle standard-of-living,Not good media,No-use
37,Low wife education ,Lower-middle husband education ,2,Religion Islam,Wife now not working,Lower-middle standard-of-living,Not good media,No-use
40,Upper-middle wife education ,Upper-middle husband education,3,Religion Islam,Wife now not working,Lower-middle standard-of-living,Not good media,No-use
32,Upper-middle wife education ,Lower-middle husband education ,4,Religion Islam,Wife now not working,Lower-middle standard-of-living,Not good media,No-use
31,Lower-middle wife education ,Lower-middle husband education ,8,Religion Islam,Wife now not working,Lower-middle standard-of-living,Not good media,No-use
27,Lower-middle wife education ,Lower-middle husband education ,1,Religion Islam,Wife now working,Lower-middle standard-of-living,Not good media,No-use
